ID,y,neea,vol,fcbio,fcbio.1000,l/cbio,UF,CD_UF,cap.m3dia,med.cap.m3ano,vol.cap.m3ano,ic.cana.tipic
222,32.02,55.38,91.59,0.00108249,1.08249100,923.80,GO,2,25200.00,766500.00,702037.35,33.86
223,37.46,49.94,85.29,0.00090901,0.90901270,1100.09,SP,1,19200.00,584000.00,498093.60,37.30
227,37.04,50.36,79.67,0.00085626,0.85625640,1167.87,GO,2,11760.00,357700.00,284979.59,33.86
230,34.94,52.46,92.82,0.00103919,1.03918600,962.29,MT,4,18240.00,554800.00,514965.36,40.61
233,34.13,53.27,95.09,0.00108070,1.08069700,925.33,SP,1,4800.00,146000.00,138831.40,37.30
234,21.80,65.60,84.03,0.00117642,1.17641800,850.04,MS,5,25200.00,766500.00,644089.95,39.01
236,30.39,57.01,77.76,0.00094609,0.94608600,1056.99,MT,4,4938.00,150197.50,116793.58,40.61
237,38.04,49.36,68.12,0.00071758,0.71758460,1393.56,SP,1,1440.00,43800.00,29836.56,37.30
238,37.54,49.86,82.03,0.00087287,0.87286740,1145.65,SP,1,7200.00,219000.00,179645.70,37.30
239,34.69,52.71,66.34,0.00074626,0.74626280,1340.01,SP,1,4200.00,127750.00,84749.35,37.30
240,24.92,62.48,90.73,0.00120981,1.20980500,826.58,SP,1,4200.00,127750.00,115907.58,37.30
241,22.66,64.74,96.91,0.00133895,1.33895100,746.85,SP,1,#N/A,#N/A,#N/A,37.30
242,23.50,63.90,97.23,0.00132594,1.32594200,754.18,GO,2,9600.00,292000.00,283911.60,33.86
243,45.13,42.27,64.45,0.00058140,0.58140460,1719.97,SP,1,#N/A,#N/A,#N/A,37.30
245,35.98,51.42,91.16,0.00100037,1.00036800,999.63,PR,6,7200.00,219000.00,199640.40,37.64
246,31.45,55.95,95.17,0.00113638,1.13638000,879.99,SP,1,4800.00,146000.00,138948.20,37.30
247,40.05,47.35,96.04,0.00097050,0.97049980,1030.40,SP,1,5760.00,175200.00,168262.08,37.30
252,28.43,58.97,98.63,0.00124126,1.24126200,805.63,MS,5,13800.00,419750.00,413999.43,39.01
253,28.16,59.24,98.66,0.00124733,1.24732500,801.72,MG,3,7200.00,219000.00,216065.40,38.46
255,19.46,67.94,99.62,0.00144443,1.44442600,692.32,SP,1,6000.00,182500.00,181806.50,37.30
257,27.30,60.10,93.20,0.00119540,1.19540100,836.54,SP,1,9360.00,284700.00,265340.40,37.30
260,29.36,58.04,96.79,0.00119952,1.19951500,833.67,MG,3,7800.00,237250.00,229634.28,38.46
261,37.30,50.10,83.92,0.00089728,0.89727700,1114.48,PR,6,5040.00,153300.00,128649.36,37.64
262,26.93,60.47,97.04,0.00125232,1.25231600,798.52,SP,1,4200.00,127750.00,123968.60,37.30
264,27.56,59.84,94.72,0.00120964,1.20964100,826.69,SP,1,13200.00,401500.00,380300.80,37.30
265,35.56,51.84,84.50,0.00069974,0.69974300,1429.10,MT,4,18780.00,571225.00,482685.13,40.61
266,25.59,61.81,98.28,0.00129656,1.29655600,771.27,MG,3,14400.00,438000.00,430466.40,38.46
267,31.45,55.95,93.93,0.00112157,1.12157300,891.60,MG,3,10800.00,328500.00,308560.05,38.46
268,27.68,59.72,95.91,0.00122238,1.22238200,818.07,MG,3,8400.00,255500.00,245050.05,38.46
269,41.11,46.29,100.00,0.00098789,0.98789430,1012.25,GO,2,4800.00,146000.00,146000.00,33.86
271,19.30,68.10,36.82,0.00053512,0.53512370,1868.73,PR,6,4800.00,146000.00,53757.20,37.64
272,28.26,59.14,98.06,0.00123803,1.23802500,807.74,SP,1,12240.00,372300.00,365077.38,37.30
274,20.58,66.82,97.45,0.00138967,1.38967000,719.60,SP,1,13200.00,401500.00,391261.75,37.30
275,23.25,64.15,96.79,0.00132511,1.32510600,754.66,SP,1,13200.00,401500.00,388611.85,37.30
276,46.71,40.69,66.04,0.00057348,0.57347970,1743.74,MS,5,34000.00,1034166.67,682963.67,39.01
277,47.18,40.22,97.62,0.00083792,0.83792310,1193.43,GO,2,4800.00,146000.00,142525.20,33.86
278,25.49,61.91,96.47,0.00127461,1.27460700,784.56,SP,1,6840.00,208050.00,200705.84,37.30
280,30.87,56.53,77.97,0.00094065,0.94065380,1063.09,MT,4,6240.00,189800.00,147987.06,40.61
281,37.18,50.22,66.56,0.00071337,0.71336750,1401.80,MT,4,6090.00,185237.50,123294.08,40.61
282,16.93,70.47,98.83,0.00148633,1.48633400,672.80,MT,4,8928.00,271560.00,268382.75,40.61
285,21.86,65.54,97.36,0.00136179,1.36179100,734.33,SP,1,5688.00,173010.00,168442.54,37.30
286,25.01,62.39,68.21,0.00090821,0.90821010,1101.07,SP,1,14400.00,438000.00,298759.80,37.30
287,23.02,64.38,96.11,0.00132051,1.32051400,757.28,SP,1,17600.00,535333.33,514508.87,37.30
291,28.41,58.99,97.49,0.00122733,1.22733100,814.78,SP,1,24000.00,730000.00,711677.00,37.30
292,26.33,61.07,96.34,0.00125562,1.25561900,796.42,SP,1,21800.00,663083.33,638814.48,37.30
294,30.77,56.63,96.50,0.00116623,1.16622650,857.47,SP,1,14400.00,438000.00,422670.00,37.30
295,29.99,57.41,74.83,0.00091683,0.91682530,1090.72,MS,5,13200.00,401500.00,300442.45,39.01
296,30.49,56.91,88.63,0.00107645,1.07644700,928.98,MS,5,11400.00,346750.00,307324.53,39.01
297,38.37,49.03,76.44,0.00079985,0.79984510,1250.24,SP,1,12480.00,379600.00,290166.24,37.30
298,34.60,52.80,93.67,0.00105550,1.05549900,947.42,SP,1,5760.00,175200.00,164109.84,37.30
300,24.99,62.41,31.39,0.00041809,0.41808910,2391.83,MT,4,5640.00,171550.00,53849.55,40.61
301,34.38,53.02,86.89,0.00098318,0.98317950,1017.11,MS,5,6000.00,182500.00,158574.25,39.01
302,32.20,55.20,98.78,0.00116367,1.16367400,859.35,SP,1,6600.00,200750.00,198300.85,37.30
303,21.82,65.58,95.58,0.00133771,1.33770900,747.55,SP,1,7065.00,214893.75,205395.45,37.30
305,33.56,53.84,98.18,0.00112811,1.12811000,886.44,SP,1,8400.00,255500.00,250849.90,37.30
306,19.19,68.21,98.74,0.00143736,1.43735600,695.72,GO,2,33600.00,1022000.00,1009122.80,33.86
307,19.40,68.00,70.63,0.00102499,1.02499400,975.62,MT,4,23296.00,708586.67,500474.76,40.61
308,36.47,50.93,51.76,0.00056259,0.56258900,1777.50,MT,4,37500.00,1140625.00,590387.50,40.61
313,19.84,67.56,63.18,0.00091095,0.91094590,1097.76,MT,4,20592.00,626340.00,395721.61,40.61
314,27.73,59.67,29.17,0.00037146,0.37146320,2692.06,PR,6,1440.00,43800.00,12776.46,37.64
315,30.25,57.15,79.22,0.00096622,0.96621640,1034.96,GO,2,5400.00,164250.00,130118.85,33.86
318,27.79,59.61,99.00,0.00125944,1.25944000,794.00,SP,1,4560.00,138700.00,137313.00,37.30
319,24.82,62.58,95.38,0.00127384,1.27384400,785.03,SP,1,26400.00,803000.00,765901.40,37.30
322,31.13,56.27,97.41,0.00116978,1.16977900,854.86,SP,1,13800.00,419750.00,408878.48,37.30
323,23.06,64.34,70.35,0.00096598,0.96598070,1035.22,GO,2,1500.00,45625.00,32097.19,33.86
324,24.04,63.36,70.25,0.00094992,0.94991510,1052.73,GO,2,6000.00,182500.00,128206.25,33.86
325,26.18,61.22,94.68,0.00123702,1.23701500,808.40,MS,5,25200.00,766500.00,725722.20,39.01
327,33.84,53.56,93.35,0.00108990,1.08989500,917.52,GO,2,0.00,0.00,0.00,33.86
329,34.14,53.26,86.84,0.00098706,0.98706170,1013.11,SP,1,7620.00,231775.00,201273.41,37.30
330,24.59,62.81,98.78,0.00132410,1.32410100,755.23,SP,1,8400.00,255500.00,252382.90,37.30
331,25.41,61.99,94.37,0.00124847,1.24847200,800.98,MG,3,7800.00,237250.00,223892.83,38.46
332,22.39,65.01,97.02,0.00134606,1.34606100,742.91,SP,1,9000.00,273750.00,265592.25,37.30
